event_id,customer_id,event_type,event_timestamp,product_id
17,736,logout,2024-07-06 19:51:55,600
36,719,login,2026-01-15 20:18:11,139
37,723,purchase,2025-06-29 07:09:59,17
62,999999,view,2024-11-09 21:14:10,282
66,999999,login,2026-05-23 23:17:14,614
68,999999,login,2026-03-01 10:15:48,514
69,738,purchase,2025-06-16 04:47:23,166
108,999999,view,2025-02-07 08:25:42,466
109,727,view,2025-12-06 19:55:09,351
122,701,click,2024-11-22 00:57:54,392
130,726,purchase,2024-10-26 00:47:48,386
132,717,logout,2025-12-27 04:27:55,363
135,745,click,2024-09-25 10:47:48,240
143,718,login,2025-10-20 11:39:58,417
150,738,logout,2024-08-23 07:48:43,226
181,999999,click,2024-12-20 20:15:50,543
184,716,purchase,2024-09-06 08:59:35,405
188,999999,view,2025-04-17 06:57:03,531
193,742,view,2025-08-12 16:20:47,391
216,730,click,2025-06-04 17:17:12,68
225,999999,click,,528
236,999999,logout,2025-08-19 14:44:21,454
246,731,click,2026-01-22 18:34:32,289
251,710,click,2024-09-07 16:52:42,117
254,726,click,2026-01-24 18:20:18,32
255,999999,login,2025-03-04 06:26:57,586
256,735,purchase,2026-02-08 09:50:58,345
267,706,click,,401
280,724,login,2025-07-10 23:44:56,91
312,999999,logout,2025-01-04 06:24:54,277
316,999999,view,2025-07-05 09:35:25,154
318,999999,purchase,2026-02-03 16:05:27,24
342,742,purchase,2026-03-06 15:54:56,370
343,999999,click,2025-02-13 14:56:32,411
373,999999,click,2026-02-06 08:39:27,613
390,999999,click,2025-09-05 01:57:28,118
401,999999,click,,387
406,737,purchase,2025-05-19 19:41:50,471
412,999999,click,2025-01-13 17:16:51,561
420,716,view,2025-12-03 20:08:18,10
429,705,logout,2026-01-06 01:40:40,145
471,708,view,2025-07-31 10:53:56,248
476,712,click,2024-09-16 01:11:30,601
480,718,purchase,2024-12-16 06:11:43,69
483,724,view,2025-10-22 23:21:25,556
487,999999,login,2025-01-24 09:58:33,534
492,720,login,2024-09-18 23:06:23,193
496,710,login,2025-10-27 09:44:07,301
541,999999,view,2024-10-21 05:38:02,23
565,726,purchase,2025-08-02 14:29:47,487
581,999999,click,,492
594,706,logout,2025-07-30 18:22:08,409
601,726,purchase,2025-12-06 07:38:41,378
604,719,click,,185
612,999999,purchase,2025-09-09 15:41:51,289
613,999999,click,2024-10-25 15:26:53,232
637,999999,login,2025-01-05 00:32:44,103
640,725,purchase,2025-11-10 06:58:35,311
645,712,login,2026-05-19 17:24:34,96
656,999999,login,2025-03-21 11:52:45,274
661,724,logout,2024-08-17 17:04:20,390
663,999999,purchase,2026-01-01 08:15:03,489
680,749,purchase,2025-08-22 08:24:18,452
683,747,login,2025-12-18 15:29:09,570
691,745,login,2025-03-13 03:06:16,420
722,728,purchase,2025-11-28 04:28:23,642
731,714,view,2025-01-01 22:00:18,67
739,999999,purchase,2025-07-31 18:57:45,628
749,711,click,2025-03-15 07:09:40,375
765,732,view,2025-08-19 05:10:28,27
799,704,view,2025-09-21 12:17:27,553
803,999999,view,2025-07-19 19:19:28,535
806,999999,view,2025-12-23 19:55:27,405
810,999999,login,2025-09-29 15:43:25,68
845,999999,purchase,2025-01-06 07:45:28,333
865,999999,login,2025-11-20 05:00:46,468
879,733,view,2024-12-02 06:27:55,272
928,746,login,2024-06-05 05:55:32,473
935,999999,purchase,2025-09-12 19:53:32,483
950,711,login,2024-07-18 02:08:42,85
953,747,login,2026-03-21 04:35:51,44
954,737,logout,2025-09-30 07:24:39,589
958,732,click,2026-04-19 14:48:25,128
962,701,logout,,328
966,999999,login,2026-01-09 05:25:51,349
969,999999,logout,2024-09-09 11:00:26,196
970,732,click,2025-07-27 03:04:17,236
981,733,purchase,2024-05-24 17:26:05,261
997,999999,login,2025-06-12 19:42:25,396
1003,999999,login,2025-12-07 04:30:31,500
1011,999999,login,2026-04-11 02:55:07,528
1012,741,purchase,2025-05-29 22:06:57,575
1019,721,click,,205
1035,710,view,2025-09-18 00:29:32,387
1043,727,view,2025-05-09 02:29:46,223
1049,711,purchase,2025-09-07 23:18:38,403
1064,999999,purchase,2026-02-22 00:39:02,515
1073,999999,click,2025-08-14 00:48:21,110
1074,726,logout,2025-01-09 08:56:12,191
1079,999999,logout,2026-01-27 01:57:52,341
1081,999999,purchase,,288
1085,999999,click,2025-06-30 18:48:01,110
1100,735,logout,2024-11-07 20:05:38,468
1103,735,click,2024-05-25 05:56:35,574
1114,999999,purchase,2025-06-13 14:53:08,644
1117,713,view,2025-08-23 22:04:45,405
1139,999999,click,2024-08-11 02:40:47,592
1149,999999,logout,,576
1152,716,login,2026-03-29 17:56:55,625
1169,717,click,2026-04-21 18:24:46,573
1171,999999,login,2024-11-27 12:28:42,535
1173,734,purchase,2025-06-04 18:26:22,298
1179,749,purchase,2025-12-01 15:24:44,20
1185,999999,click,2026-02-09 01:13:01,146
1188,999999,logout,2024-10-04 16:07:40,426
1189,727,view,2026-03-24 02:42:48,437
1197,999999,click,2025-12-26 06:04:32,122
1198,999999,view,2025-03-29 04:01:52,418
1214,709,purchase,2025-05-05 04:14:23,186
1218,999999,purchase,2024-10-31 11:40:57,479
1224,999999,logout,2024-10-23 13:41:11,470
1254,733,purchase,2025-01-28 07:20:41,242
1260,707,click,2026-04-13 22:22:08,252
1264,999999,login,2024-08-21 06:06:16,258
1275,723,view,2025-01-06 12:54:05,499
1279,999999,click,2025-07-13 00:43:04,251
1281,999999,click,2026-04-26 04:10:09,578
1285,999999,click,2024-08-28 15:49:55,214
1311,725,login,2024-12-11 00:59:38,449
1312,999999,click,2025-07-24 11:57:40,77
1314,747,logout,2025-10-24 15:40:38,207
1322,720,view,2025-09-01 09:08:16,410
1329,999999,logout,2024-09-08 12:21:45,53
1351,999999,logout,2025-02-10 02:54:50,448
1377,709,login,2024-12-27 10:32:12,4
1378,708,logout,2026-05-21 20:36:54,465
1383,737,purchase,2025-11-10 21:39:50,72
1385,719,view,2024-12-18 21:38:18,477
1401,722,login,2025-03-16 02:57:25,324
1404,710,purchase,2025-04-05 17:53:47,37
1433,999999,login,2025-07-25 00:28:23,245
1460,999999,logout,2025-02-27 10:04:00,59
1463,999999,click,2024-05-25 22:59:41,447
1471,748,purchase,2025-05-22 23:39:04,376
1482,999999,click,2024-11-17 06:14:39,223
1488,999999,view,2026-03-20 16:33:44,211
1489,999999,click,2025-08-28 07:09:09,270
