event_id,customer_id,event_type,event_timestamp,product_id
16,111.0,logout,broken-date,411.0
73,606.0,view,broken-date,95.0
120,161.0,click,broken-date,90.0
146,561.0,login,broken-date,645.0
152,320.0,view,broken-date,251.0
185,500.0,login,broken-date,202.0
225,999999.0,click,broken-date,528.0
245,200.0,purchase,broken-date,630.0
267,706.0,click,broken-date,401.0
269,18.0,logout,broken-date,347.0
305,571.0,logout,broken-date,31.0
338,485.0,login,broken-date,521.0
401,999999.0,click,broken-date,387.0
417,252.0,logout,broken-date,523.0
423,107.0,login,broken-date,381.0
437,507.0,click,broken-date,114.0
444,387.0,click,broken-date,285.0
452,492.0,click,broken-date,550.0
505,251.0,purchase,broken-date,616.0
508,345.0,purchase,broken-date,590.0
513,395.0,view,broken-date,205.0
543,451.0,view,broken-date,221.0
561,20.0,view,broken-date,82.0
581,999999.0,click,broken-date,492.0
604,719.0,click,broken-date,185.0
617,376.0,click,broken-date,364.0
644,633.0,view,broken-date,108.0
665,350.0,logout,broken-date,86.0
675,82.0,logout,broken-date,522.0
862,542.0,login,broken-date,445.0
951,362.0,logout,broken-date,173.0
962,701.0,logout,broken-date,328.0
1019,721.0,click,broken-date,205.0
1067,470.0,view,broken-date,108.0
1081,999999.0,purchase,broken-date,288.0
1115,662.0,login,broken-date,237.0
1120,178.0,view,broken-date,83.0
1149,999999.0,logout,broken-date,576.0
1174,558.0,click,broken-date,137.0
1193,401.0,login,broken-date,560.0
1211,547.0,logout,broken-date,608.0
1220,700.0,login,broken-date,584.0
1235,53.0,logout,broken-date,5.0
1362,508.0,click,broken-date,340.0
1412,30.0,click,broken-date,495.0
1443,203.0,login,broken-date,461.0
1448,584.0,purchase,broken-date,351.0
1469,158.0,login,broken-date,567.0
1475,119.0,click,broken-date,170.0
1498,62.0,login,broken-date,354.0
BAD_ID,,purchase,,
