order_id,customer_id,product_id,quantity,unit_price,currency,order_timestamp,status
63,734,275,2,369.62,RUB,2024-11-28 15:28:57,cancelled
83,731,298,2,221.7,USD,2025-09-09 04:43:12,completed
107,733,496,3,462.5,USD,2025-03-24 02:52:08,cancelled
109,715,70,3,296.4,EUR,2026-01-22 01:29:38,completed
130,713,121,5,77.51,EUR,2024-07-28 03:23:12,processing
191,741,214,1,250.44,RUB,,processing
200,746,227,1,161.17,EUR,2025-08-25 21:36:30,processing
254,742,136,2,376.23,RUB,2025-01-26 10:56:07,cancelled
265,712,616,2,133.76,EUR,2024-06-15 11:33:33,cancelled
273,704,249,4,337.53,EUR,2025-06-01 05:00:46,completed
275,748,601,5,45.11,EUR,2026-05-02 22:23:00,completed
300,730,555,4,321.04,EUR,2025-10-05 13:34:13,cancelled
321,733,493,5,360.23,EUR,2025-08-12 12:11:26,processing
324,740,495,3,79.56,USD,2025-12-23 17:39:44,completed
339,707,94,5,140.22,EUR,2026-02-08 16:59:47,processing
381,742,620,2,68.98,EUR,2025-08-19 11:17:48,cancelled
385,719,282,4,439.21,USD,2024-12-20 09:45:09,processing
398,728,135,5,263.28,EUR,2025-09-28 06:39:23,cancelled
406,730,85,3,231.76,RUB,2024-11-13 04:33:32,processing
436,725,173,4,448.93,USD,2024-12-27 06:16:13,cancelled
460,725,206,1,100.44,EUR,2024-10-31 08:29:29,completed
466,724,32,5,82.94,EUR,2025-09-29 10:06:24,processing
497,702,330,1,313.11,USD,2025-04-26 20:45:02,cancelled
501,703,257,2,344.61,RUB,2025-09-25 01:15:16,cancelled
507,741,634,2,288.51,RUB,2026-01-20 05:29:54,cancelled
531,737,87,3,140.67,EUR,2026-02-09 18:37:19,processing
538,724,454,5,433.85,USD,2025-12-03 00:11:36,completed
540,717,234,2,101.65,EUR,2025-09-20 07:21:58,completed
546,745,501,4,191.52,EUR,2025-08-26 05:48:34,cancelled
563,729,649,1,242.14,USD,2025-04-11 19:24:21,completed
592,747,196,1,190.34,RUB,2026-02-16 12:06:53,cancelled
608,710,43,1,495.35,RUB,2025-11-01 02:47:01,processing
610,727,562,3,368.61,EUR,2024-11-17 19:35:42,cancelled
630,716,429,3,321.07,USD,2026-05-20 01:17:09,cancelled
652,704,596,5,167.36,EUR,2026-05-20 13:26:07,processing
703,740,283,2,55.66,EUR,2025-06-06 16:04:58,cancelled
728,741,494,3,293.84,RUB,2024-06-05 21:56:08,cancelled
746,744,82,2,16.96,EUR,2025-09-09 01:47:11,cancelled
768,730,305,5,155.63,RUB,2025-09-27 16:28:37,completed
804,706,222,1,463.85,EUR,2025-04-26 10:43:03,cancelled
806,714,28,4,282.58,USD,2025-09-01 06:20:51,processing
813,731,600,5,475.48,RUB,2025-12-05 14:23:39,cancelled
817,712,574,5,475.29,USD,2026-01-02 01:44:12,cancelled
850,704,214,3,127.02,USD,2025-06-12 13:09:56,cancelled
859,705,611,4,139.3,EUR,2025-10-31 09:41:40,completed
860,743,377,5,343.26,EUR,2025-04-28 07:05:10,processing
880,748,303,4,53.93,RUB,2024-10-01 01:17:06,completed
911,744,302,3,33.41,EUR,2025-11-08 23:12:52,processing
919,737,63,1,232.25,RUB,2024-08-04 05:36:31,cancelled
927,748,257,4,487.75,RUB,2024-07-28 02:50:13,processing
933,737,394,4,309.11,EUR,2025-09-03 21:53:38,processing
946,728,573,4,264.28,EUR,2025-03-28 04:41:51,cancelled
978,704,597,2,463.64,RUB,2024-12-12 23:59:32,completed
990,744,272,2,28.45,USD,2026-04-26 20:04:53,processing
1004,748,214,2,221.41,EUR,2025-05-29 20:37:07,processing
1015,739,134,5,20.97,USD,2025-08-20 20:05:12,completed
1025,738,521,1,237.09,USD,2025-02-06 01:41:22,completed
1036,725,68,1,164.37,RUB,2025-02-17 00:25:49,cancelled
1056,744,274,4,335.65,USD,2024-06-06 03:05:37,completed
1084,727,614,5,137.35,EUR,2025-06-02 20:38:05,completed
1108,749,462,5,369.39,USD,2025-12-31 11:56:38,cancelled
1113,737,339,3,315.82,USD,2025-12-06 20:01:43,completed
1118,722,127,3,128.05,RUB,2025-06-04 06:25:14,completed
1128,709,521,4,66.16,USD,2025-07-25 07:08:17,processing
1156,728,225,1,41.05,EUR,2025-12-27 17:40:44,processing
1169,739,552,4,109.07,EUR,2026-02-03 10:59:34,completed
1186,737,603,3,483.64,RUB,2026-05-24 07:08:36,cancelled
1191,707,220,3,180.62,USD,2024-08-12 07:21:38,cancelled
