order_id,customer_id,product_id,quantity,unit_price,currency,order_timestamp,status
5,92,639,4,60.8,RUB,2025-01-22 15:48:14,processing
16,586,647,2,491.87,RUB,2026-02-03 08:08:20,cancelled
23,622,629,3,496.93,EUR,2025-02-10 03:12:51,processing
24,0,621,3,464.03,USD,2025-04-27 12:35:46,completed
42,325,628,5,389.56,EUR,2025-11-02 16:21:05,completed
60,433,623,2,301.08,RUB,2026-01-12 10:41:02,cancelled
62,37,636,5,59.51,USD,2024-09-21 05:17:57,processing
86,139,644,3,51.94,RUB,2026-03-15 17:33:11,cancelled
90,630,636,5,260.98,USD,2026-01-09 02:30:08,processing
103,291,635,1,294.46,USD,2025-03-13 00:28:18,cancelled
118,195,634,4,255.42,EUR,2025-01-29 11:54:39,processing
131,377,603,1,126.7,USD,2025-03-15 15:56:30,completed
133,79,617,3,31.42,EUR,2024-06-30 02:15:14,processing
137,327,637,1,179.85,EUR,2025-11-14 17:50:07,cancelled
175,188,608,5,51.06,USD,2026-01-30 17:19:42,processing
176,379,603,3,224.91,RUB,2024-09-30 18:11:24,cancelled
180,295,621,2,151.35,EUR,2025-09-29 23:52:34,completed
201,171,626,1,474.46,RUB,2024-07-06 21:06:12,cancelled
206,408,647,3,157.72,USD,2026-04-01 21:38:04,processing
231,222,602,1,72.09,RUB,2025-02-13 09:44:40,processing
232,393,631,5,306.34,RUB,2025-07-05 21:17:33,processing
233,485,630,2,494.65,USD,,completed
264,479,608,4,406.52,EUR,2025-12-22 02:57:46,processing
265,-1,616,2,133.76,EUR,2024-06-15 11:33:33,cancelled
275,-1,601,5,45.11,EUR,2026-05-02 22:23:00,completed
285,8,630,5,136.34,RUB,2024-08-07 04:58:00,processing
298,0,614,2,144.64,EUR,2024-08-20 10:16:22,processing
308,419,646,5,146.65,EUR,2025-06-26 06:26:09,completed
312,595,634,4,102.55,USD,2024-09-06 02:44:52,completed
317,301,618,5,235.98,USD,2025-09-29 19:46:51,cancelled
359,676,601,4,132.42,RUB,2026-03-03 10:39:42,cancelled
381,-1,620,2,68.98,EUR,2025-08-19 11:17:48,cancelled
399,433,648,1,376.49,EUR,2026-04-23 10:43:59,completed
413,77,628,3,112.29,RUB,2025-09-27 20:11:37,processing
424,14,606,2,297.03,USD,2026-05-17 14:53:41,cancelled
427,98,619,3,294.26,RUB,2025-07-21 07:00:28,cancelled
438,552,613,1,107.32,USD,2026-04-28 05:36:27,processing
471,0,606,4,407.34,RUB,2026-02-03 22:33:35,completed
482,400,614,4,31.93,USD,2025-01-23 22:06:10,completed
483,637,642,4,343.39,RUB,2024-05-30 23:47:26,cancelled
485,387,642,4,134.18,USD,2025-05-17 12:50:32,processing
507,-1,634,2,288.51,RUB,2026-01-20 05:29:54,cancelled
534,14,642,5,44.49,RUB,2026-04-09 23:16:20,cancelled
543,166,635,3,452.32,USD,2024-08-31 13:01:48,cancelled
552,311,622,3,121.59,EUR,2025-03-02 19:07:25,processing
558,458,650,3,347.26,EUR,2025-06-08 18:13:38,cancelled
561,482,639,1,198.23,USD,2025-10-25 13:12:58,cancelled
563,-1,649,1,242.14,USD,2025-04-11 19:24:21,completed
565,322,620,2,479.29,RUB,2025-04-29 04:26:27,completed
601,501,613,1,150.39,USD,2025-11-19 02:59:51,cancelled
639,70,642,1,287.42,USD,2026-05-15 09:16:08,cancelled
645,403,620,3,158.71,RUB,2025-05-15 18:31:43,cancelled
646,316,604,4,199.19,RUB,2026-05-20 21:35:10,processing
648,502,645,5,319.37,EUR,2025-04-22 16:03:12,cancelled
653,178,613,3,322.91,USD,2025-07-25 09:03:33,processing
670,398,616,3,80.81,USD,2024-05-26 22:14:52,processing
679,235,636,1,123.59,USD,2026-03-30 11:43:19,completed
737,675,605,3,270.13,RUB,2025-08-25 04:23:35,processing
738,627,606,1,232.93,RUB,2024-10-09 11:55:54,processing
759,8,609,1,75.7,USD,2025-04-30 03:40:43,processing
772,343,646,5,353.34,USD,2025-12-11 03:06:29,completed
795,199,601,4,133.07,EUR,2025-06-11 11:45:45,completed
802,288,627,2,55.81,USD,2024-10-18 09:51:20,completed
835,617,640,5,183.99,USD,2025-04-24 05:59:23,processing
837,542,641,5,371.87,EUR,2025-04-22 00:21:06,processing
857,11,601,1,498.66,USD,2025-08-07 08:54:22,completed
859,-1,611,4,139.3,EUR,2025-10-31 09:41:40,completed
878,597,641,5,356.02,RUB,2025-12-22 11:59:03,cancelled
879,640,620,3,416.84,RUB,2025-06-16 01:54:49,processing
894,153,642,3,426.38,EUR,2024-09-11 22:55:03,completed
898,385,622,3,49.25,RUB,2025-01-28 03:52:47,completed
910,224,607,5,155.4,EUR,2025-07-02 17:01:09,completed
918,347,603,1,251.48,RUB,2026-01-05 17:15:11,processing
926,17,620,1,426.93,USD,2025-08-07 12:11:10,processing
928,299,625,5,175.48,RUB,2025-09-18 10:58:43,processing
932,0,629,3,196.42,USD,2025-09-14 16:16:30,completed
966,311,635,5,197.7,RUB,2026-02-02 09:47:05,processing
1003,352,638,4,466.88,USD,2025-12-24 07:55:07,processing
1007,346,611,3,491.17,USD,2026-03-15 09:37:24,cancelled
1024,530,607,3,229.4,USD,2025-01-09 23:13:27,completed
1067,23,601,3,46.19,USD,2024-09-10 01:10:47,processing
1084,-1,614,5,137.35,EUR,2025-06-02 20:38:05,completed
1091,249,649,4,439.18,USD,2025-07-03 05:15:31,completed
1092,429,619,1,204.28,EUR,2024-08-03 18:33:02,processing
1107,199,630,4,149.88,RUB,2026-03-14 15:39:54,processing
1111,487,622,5,39.78,USD,,cancelled
1120,582,614,5,262.1,USD,2024-12-12 18:32:49,completed
1122,461,613,2,27.85,USD,2024-06-10 09:04:48,processing
1141,208,637,5,365.55,RUB,2024-09-02 05:33:05,cancelled
1164,584,608,4,44.73,EUR,2024-06-10 19:10:40,cancelled
1179,0,615,3,368.0,RUB,2025-11-02 19:11:51,completed
1182,399,636,2,320.58,EUR,2024-07-10 05:33:32,cancelled
1186,-1,603,3,483.64,RUB,2026-05-24 07:08:36,cancelled
