payment_id,order_id,payment_method,amount,currency,payment_timestamp
10,1216,,2574.49,EUR,2026-02-22 05:19:19
35,1219,paypal,2953.4,EUR,2025-11-08 18:01:05
37,1226,card,2308.36,EUR,2024-07-28 14:15:10
52,1266,card,2210.16,RUB,2025-10-15 02:47:41
65,1267,bank_transfer,1615.75,RUB,2026-05-12 00:42:23
66,1221,paypal,280.86,EUR,2024-08-02 07:40:39
86,1238,bank_transfer,2543.11,USD,2025-05-23 10:41:24
104,1245,bank_transfer,2760.54,EUR,2024-09-19 00:34:28
107,1266,bank_transfer,2875.9,USD,2025-12-21 20:03:34
115,1283,card,968.89,EUR,2024-12-04 18:10:32
120,1276,,1315.1,USD,
122,1271,,746.08,EUR,2025-01-23 14:06:26
130,1201,card,714.86,EUR,2025-12-13 16:01:58
143,1272,bank_transfer,2562.91,RUB,2024-08-05 22:08:15
147,1245,paypal,1716.77,RUB,2025-03-18 02:46:58
159,1219,,2578.25,USD,2025-07-11 03:01:04
198,1289,paypal,2591.6,RUB,2025-11-23 06:39:12
199,1265,bank_transfer,470.13,RUB,2025-11-26 19:41:56
210,1300,paypal,1879.26,USD,2025-10-24 10:35:08
242,1262,paypal,2073.56,RUB,2024-10-30 20:55:28
247,1293,,268.24,USD,2026-02-08 01:50:24
253,1289,bank_transfer,1489.16,RUB,2025-07-03 21:34:22
297,1221,card,2191.39,USD,2025-09-14 13:56:45
319,1206,card,1149.12,EUR,2026-02-23 21:48:45
320,1239,bank_transfer,688.96,EUR,2026-01-23 12:47:16
331,1293,card,1625.66,USD,2024-11-04 05:43:57
352,1284,bank_transfer,741.14,RUB,2026-03-09 17:19:16
358,1218,,561.5,RUB,2026-01-20 19:40:20
368,1243,card,1495.99,RUB,2024-06-03 23:09:51
377,1276,card,300.99,EUR,2025-04-10 21:28:14
384,1300,paypal,1871.72,USD,2025-02-03 19:21:51
385,1203,,2256.95,USD,2024-08-12 12:42:45
406,1282,bank_transfer,87.36,EUR,2024-09-12 16:37:49
470,1255,,1935.6,USD,2024-10-18 17:34:22
472,1202,bank_transfer,1298.52,RUB,2025-09-27 08:35:49
484,1291,,1673.23,USD,2024-06-12 01:45:23
485,1264,card,2286.47,RUB,2025-05-22 23:24:42
505,1270,paypal,2548.63,RUB,2026-02-08 02:24:25
507,1231,card,50.45,USD,2024-12-25 14:48:31
510,1259,bank_transfer,886.59,USD,2024-08-26 08:28:35
534,1237,paypal,37.96,EUR,2025-10-08 08:25:38
562,1284,bank_transfer,2932.15,USD,2024-12-30 13:56:25
579,1205,bank_transfer,1216.44,EUR,2025-07-13 21:36:29
580,1220,bank_transfer,496.96,RUB,2024-11-22 22:03:17
581,1275,card,296.86,RUB,2024-11-24 07:50:22
585,1272,,326.6,USD,2025-03-20 15:17:26
666,1232,card,2317.83,USD,2024-11-02 12:56:40
688,1291,paypal,822.58,RUB,2024-09-01 10:10:20
706,1209,paypal,583.65,RUB,2025-11-02 10:54:38
717,1256,,2533.98,RUB,2024-08-09 19:01:27
728,1268,bank_transfer,2893.81,EUR,2024-06-03 09:29:19
755,1228,card,521.2,RUB,2025-08-30 00:48:38
764,1265,bank_transfer,2257.13,RUB,2026-05-19 03:47:37
771,1297,,405.21,EUR,2025-04-22 14:23:21
780,1292,card,690.88,RUB,2024-08-01 14:23:31
810,1246,card,230.39,RUB,2026-01-25 16:07:29
815,1281,paypal,2026.84,USD,2024-11-29 11:38:40
826,1219,,231.5,RUB,2025-10-03 07:08:55
827,1203,,1766.87,RUB,2025-09-12 23:15:04
828,1226,card,1731.46,EUR,2026-05-16 17:20:32
829,1207,bank_transfer,1804.25,EUR,2025-05-30 11:22:12
867,1264,bank_transfer,1980.43,EUR,2026-01-26 18:38:24
874,1242,bank_transfer,31.01,RUB,2024-06-28 19:18:17
877,1276,bank_transfer,2215.75,USD,2024-08-31 08:18:05
896,1295,bank_transfer,2808.25,RUB,2025-10-13 08:21:19
899,1221,card,2747.92,USD,2025-12-19 04:22:37
981,1281,paypal,1323.05,EUR,2024-11-22 04:00:05
993,1281,paypal,2099.57,EUR,2024-12-27 15:44:57
996,1209,paypal,2197.57,RUB,2024-11-18 14:46:55
